book_id,titles,isbn,author,review source,average rating,review author,review content
1014,"So Long, and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy, #4)",0330491237,Douglas Adams,Barnes and Noble,4.3,1000_Character_Reviews,"Well...on to the forth (and almost last) of the original set of Hitchhiker's Guide books.  We find Arthur Dent back on Earth, which has not been destroyed (I won't spoil the how on this &ndash; especially as I&rsquo;m not completely clear on how Ford pulled it off) looking to help a girl he's fallen in love with, figure out why he's been given a fishbowl with a strange inscription, figuring out where all the dolphins went, trying to find his battered copy of the Hitchhiker's Guide and finally finding the message that God left for all of creation (which falls along the lines of 42 as the answer to Life, the Universe and Everything).   The mystery-like storyline combined with the series&rsquo; characteristic sarcasm definitely makes it very hard to put down.  I&rsquo;d say it&rsquo;s the funniest of the books thus far with the healthy dose of irreverent humor we've come to expect from this series."
1014,"So Long, and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy, #4)",0330491237,Douglas Adams,Barnes and Noble,4.3,jegan22280 on LibraryThing,"I considered this Much weaker that the previous offerings.  I wasn't prepared for a love story when starting this book.  It was, howeve, good enough to grab and hold may attention.  So much so that while reading it in an airport, I was so engrossed that I missed my flight."
1014,"So Long, and Thanks for All the Fish (Hitchhiker's Guide to the Galaxy, #4)",0330491237,Douglas Adams,Barnes and Noble,4.3,Nanoscale2 on LibraryThing,The fourth book in the Hitchhiker's guide to the galaxy trilogy?  Kind of an odd thing to have a fourth in a trilogy but it is worth while but please please read the other three books first...Or you will be very confused.DaScienceGuy.WordPress.com
1015,Steppenwolf,0140282580,"Hermann Hesse, Basil Creighton",Barnes and Noble,4.1,Anonymous,"Steppenwolf tells the story of alienated intellectual Harry Haller and his mid-life crisis.  Actually, to say that this book tells a story is a bit misleading.  Steppenwolf is not the book for you if you are looking for a riveting, action filled plot and a literal, straightforward ending.  Steppenwolf is riveting in an entirely different way.  It provides a window into Harry's troubled soul.  The physical world and its inhabitants take a backseat to Haller's rich, symbol-laden inner realms.  

Although written in the 1920's, Steppenwolf reached a height of popularity in the 1960's and 1970's.  The little action that does take place in this book largely revolves around Harry's introduction to jazz club night life and his casual affair with a pretty young courtesan.  The closing sequence, an intense, surrealistic immersion in the ""Magic Theater"" of Harry's mind, is popularly interpreted as a drug-induced hallucination.  Due to these themes, Steppenwolf is sometimes touted as a vindication of free-love and drug culture.  I believe that this is a somewhat limiting interpretation of the book.  Hesse's writings chronicle his own development as a person.  In his earlier novel Demian, one character observes ""If you hate a person, you hate something in him that is part of yourself.""  In Steppenwolf, Hesse portrays a man who must come to terms with those rejected parts of himself, particularly those he finds most shallow, sensual, and animalistic.  The symbolism is heavily influenced by Hesse's experience with Jungian analysis, and having some familiarity with Jung's ideas greatly helps in understanding the odder portions of the novel.  The Magic Theater sequence presents and recommends a ruthlessly honest self-examination, followed by an expansion of consciousness beyond the self.  Such experiences are accessible to people in many forms of deep mediation and psychological therapies as well as through drugs.

In a wonderful paradox, Hesse wrote frankly individualistic autobiographical fiction, yet hundreds, perhaps thousands, of people have identified themselves strongly with Hesse's characters.  Steppenwolf is not for everyone.  Most people seem to have a strong positive or negative reaction to this kind of work.  I found this a powerful, thought provoking read, and highly recommend it for introspective readers."
1015,Steppenwolf,0140282580,"Hermann Hesse, Basil Creighton",Barnes and Noble,4.1,Guest,Only Hesse can make a reader tremble as he/she reads about himself; self projected images abound.
1015,Steppenwolf,0140282580,"Hermann Hesse, Basil Creighton",Barnes and Noble,4.1,Guest,"Hesse has managed to bring out a beauty in misery.  It's an excellent book, poetically writen, touching story, and a good challenge for the mind."
1016,"The Surgeon (Rizzoli & Isles, #1)",055381706X,Tess Gerritsen,Barnes and Noble,,none,none
1016,"The Surgeon (Rizzoli & Isles, #1)",055381706X,Tess Gerritsen,Barnes and Noble,,none,none
1016,"The Surgeon (Rizzoli & Isles, #1)",055381706X,Tess Gerritsen,Barnes and Noble,,none,none
1017,The Girl You Left Behind,0670026611,Jojo Moyes,Barnes and Noble,4.5,Cupcakegirly,"You need this book in your life!

Anyone who knows me knows I'm rarely at a loss for words but that's exactly how this story, which began in the prequel novella, has left me. Trying to put my thoughts/feelings/emotions into coherent sentences is quite a challenging task especially when the tears just.won't.stop. I read Jojo Moyes' ME BEFORE YOU and loved it, so when this one was recommended to me, I pounced and have come to the conclusion that I will read anything this woman writes! 

Whether you are a fan of historical fiction or not, (I'm generally not) THE GIRL YOU LEFT BEHIND is a heart achingly gorgeous story of unwavering love and incredible sacrifice. It will pull you in, wrap itself around your heartstrings and refuse to let go until you have laughed, cried and hugged the ones you love just a little bit tighter. 

Trust me when I tell you that YOU NEED THIS BOOK IN YOUR LIFE!"
1017,The Girl You Left Behind,0670026611,Jojo Moyes,Barnes and Noble,4.5,irishclaireKG,"Wonderful.                                                                                                                               While I was ambivalent about Moyes' previous novels, there is not enough to say about this one.  It is thoroughly engrossing and engaging to the point you WILL stay up all night reading; the character of Sophie will keep you absolutely fixated.  Moyes' depictions of WWI suffering and trauma is harrowing, and there is simply nothing in the novel that drags.  Others have noted humor here and while there are a few (very few) more light hearted moments, this is a story of trauma, loss, suffering and ultimately, redemption.  Pick it up."
1017,The Girl You Left Behind,0670026611,Jojo Moyes,Barnes and Noble,4.5,SweetGreenTangerine,"Where do I start with this book?  Okay, let's start with Jojo Moyes.  There is something in the way she tells a story that grabs you.  No gimmicks, fancy tricks or corny cliffhangers.  She just tells the story, not a letter or punctuation wasted or out of place.  I find her writing so easy to read without being easy reading, if you catch the difference there.  She's an artist.




I know I should share a synopsis here, but I don't think I could do it justice.  Besides, I didn't read the synopsis before picking it up and I found it to be a more wholesome experience because of it.  All you need to know is that it's a story about the strength of love and the passionate spirit.




This is the second novel of hers that I have read and I sing from the mountaintops once again, her CHARACTERS.  There is nothing amazingly different about her characters.  They are not scrupulously unique or interesting, but the way she writes them, I believe them. I believe them so much, I care about them.  They are not perfect and it's their blunders, mistakes and straight-up foolishness that irritate me to no end, but I still believe them.  Some characters do stupid things in novels, and I get angry at the author for it.  Moyes' characters do the most infuriating things and I get mad at them for it.  There is a major difference there, and it's what makes characters worth reading. 




This plot is a lot thicker and more action-packed than Me Before You.  But when Moyes is writing, as I said in my Me Before You review, the plot is not what carries you through, it's the characters.
The story is split into two parts that intersect through time.  I admit, I enjoyed the first part most and was a little disappointed when the story shifted away from that character.  However, the story comes back around and everything was worth the wait.  It's a rather interesting turn of events that I did not see coming.  At moments, I thought I just could not bear the intensity of what she put her characters through, but I feel like a changed person after reading it.  Big fat sigh. 




On a personal level, I felt so connected to the character Sophie.  She was one of the most complex and beautiful female characters I have read in a long time.  What happens during Sophie's time is not perfect.  There were moments I could barely stand it.  Then, there were tears, so many tears. 




Read this book.  If you love history, and even if you don't.  If you love art, and even if you don't.  If you love love, and even if you don't.  You will."
1018,"Royal Assassin (Farseer Trilogy, #2)",0006480101,Robin Hobb,Barnes and Noble,4.3,Guest,i'm usually very picky about what i read and not much of a book worm but this book is just amazing. Once you pick it up it's hard to put down and i think it's even better than the first book. The way the author writes makes you feel like you're part of the story. Robin Hobb is truly amazing. I think five stars is not enough for this book
1018,"Royal Assassin (Farseer Trilogy, #2)",0006480101,Robin Hobb,Barnes and Noble,4.3,Anonymous,"This is my favorite book in the wonderful and enthralling Farseer trilogy! Robin Hobb creates a brilliantly dark and wild tale of treachery, adventure, and utter sorrow. The world she spins around you will have you seething with rage when Fitz does, and feeling light-headed when  you pull your head out the mystical waters of the Farseer world. Although this trilogy is marketed as an adults series, I'm thirteen and it is my favorite fantasy series, so if you are looking to buy this for your teen, buy it (there's no graphic sex or anything, and there isn't any horribly disturbing violence)! You will not regret it!"
1018,"Royal Assassin (Farseer Trilogy, #2)",0006480101,Robin Hobb,Barnes and Noble,4.3,Anonymous,Frickin awsome story
1019,Childhood's End,0345347951,Arthur C. Clarke,Barnes and Noble,4.2,Stevey,"Childhood's End is my third favorite of Clarke's fiction books behind Rama and 2001. What I think makes Childhood's End and the rest of Clarke's books so great is not only the picture he paints in the reader's head, but also how he can make the reader think deeply about the role of humanity in the Universe. I actually do not like most science fiction because many have no themes or messages behind them, making the book simply an imaginative image with no purpose, but Clarke's books are an exception.The Overlord ships may remind you of the ships from Independence Day or a few other movies that consist of aliens coming to Earth and stationing themselves over the major cities. But keep in mind, at the time it was written, none of these movies existed, making this book entirely original.  The book is split into three parts, the first and the last seem more exciting. It spans over a long period of time, more than 50 years, making character development a little rushed in its 240 pages. I like the quote on the back of the book, ""will the Overlords spell the end of humankind...or the beginning."" because that is really what Clarke tries to get readers to think about. The book is a must-read for anyone who has enjoyed any of Clarke's other works, and hopefully a mind-expanding read for people who have not yet been exposed to any of Clarke's work."
1019,Childhood's End,0345347951,Arthur C. Clarke,Barnes and Noble,4.2,Guest,"This is one of the best science fiction stories I have ever read. The story is told as a mystery, which slowly unravels as it progresses. I couldn't stop reading it once I had started. The story offers an alternate view on the progression of mankind. The style is similar to the movie 'Close Encounters of the Third Kind' in that the characters are trying to find out what's going on, and with an ending which satisfies the wait."
1019,Childhood's End,0345347951,Arthur C. Clarke,Barnes and Noble,4.2,Guest,"If you have seen the movie Armagedon you will recognize the beginning of this book and the short story that preceeded it, are almost identical to the beginning of the movie. As I sat in the movie theater I was shocked, and asked myself if Arthur C. Clarke got any credit for the inspiration of the movie. It is a good book, and it will make you think, 'What would I do?'."
1020,The Tale of Despereaux,0763625299,"Kate DiCamillo, Timothy Basil Ering",Barnes and Noble,4.5,Pete-Auzston,"First off I am 23. I love to read but I really need a book to grab me or I'll just put it down. The Tale Of Despereaux was such an amazing book I gave it to my wife and told her she HAD to read it. I bought the hard back for our future children and now I just can't wait to read it to them! This book has everything! Adventure, Romance, Happy endings and Good fun. I really felt like I was in the book!"
