book_id,title,1,2,3,4,5,6,7,8,9,10
1,"The Hunger Games (The Hunger Games, #1)",5,3,6,2,10,6294,2002,8,378,5907
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",1,6,5,3,10,6294,7996,7983,2002,8
3,"Twilight (Twilight, #1)",5,1,6,10,2,6294,2002,378,8,5907
4,To Kill a Mockingbird,533,7240,9888,6493,8394,9362,477,1358,1424,1600
5,The Great Gatsby,3,1,6,10,2,6294,2002,8,378,5907
6,The Fault in Our Stars,5,3,1,2,10,6294,2002,8,5907,378
7,The Hobbit,19,155,161,4976,2309,611,8272,1129,466,36
8,The Catcher in the Rye,10,5,1,3,6,2,2002,6294,30,7996
9,"Angels & Demons  (Robert Langdon, #1)",145,170,201,240,729,1484,3246,3247,4885,5332
10,Pride and Prejudice,1,5,3,6,2,8,2002,7996,6294,7983
11,The Kite Runner,8695,13,8694,365,8698,2493,357,33,830,8909
12,"Divergent (Divergent, #1)",69,1045,1197,2457,3285,5393,8041,2079,3560,3703
13,1984,11,8695,33,8694,360,357,8698,365,4982,7332
14,Animal Farm,2584,6727,9642,846,39,110,135,165,188,1496
15,The Diary of a Young Girl,8028,2943,1896,1920,2100,2504,3942,3995,8214,8701
16,"The Girl with the Dragon Tattoo (Millennium, #1)",140,1173,5111,7196,9269,9580,98,4752,8775,1
17,"Catching Fire (The Hunger Games, #2)",20,1531,2935,3179,3712,4720,4024,932,7096,8526
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",23,342,399,4641,6141,7523,9048,7739,6428,7443
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",19,155,161,4976,2309,611,8272,1129,466,36
20,"Mockingjay (The Hunger Games, #3)",20,1531,2935,3179,3712,4720,4024,932,7096,8526
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2094,3869,1842,4806,771,2095,2767,475,5553,2068
22,The Lovely Bones,1083,3550,2005,2603,2899,3334,3767,8427,9070,942
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",18,342,399,4641,6141,7523,9048,6428,7443,2
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",27,26,28,9791,25,3858,5306,3110,1898,7062
