book_id,title,1,2,3,4,5,6,7,8,9,10
1,"The Hunger Games (The Hunger Games, #1)",5,3,6,2,10,6175,1975,8,375,5795
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",1,6,5,3,10,6175,7833,7820,1975,8
3,"Twilight (Twilight, #1)",5,1,6,10,2,6175,1975,375,8,5795
4,To Kill a Mockingbird,528,7096,9676,6368,8219,9164,473,1343,1405,1580
5,The Great Gatsby,3,1,6,10,2,6175,1975,8,375,5795
6,The Fault in Our Stars,5,3,1,2,10,6175,1975,8,5795,375
7,The Hobbit,19,155,161,4884,2272,606,8098,1116,462,36
8,The Catcher in the Rye,10,5,1,3,6,2,1975,6175,30,7833
9,"Angels & Demons  (Robert Langdon, #1)",145,170,199,237,723,1464,3195,3196,4796,5233
10,Pride and Prejudice,1,5,3,6,2,8,1975,7833,6175,7820
11,The Kite Runner,8513,13,8512,362,8516,2454,354,33,823,8723
12,"Divergent (Divergent, #1)",69,1032,1184,2418,3230,5293,7877,2049,3499,3641
13,1984,11,8513,33,8512,357,354,8516,362,4889,7186
14,Animal Farm,2544,6596,9438,838,39,110,135,165,187,1476
15,The Diary of a Young Girl,7865,2897,1870,1894,2069,2465,3873,3924,8043,8519
16,"The Girl with the Dragon Tattoo (Millennium, #1)",140,1160,5016,7052,9076,9377,98,4667,8591,1
17,"Catching Fire (The Hunger Games, #2)",20,1511,2889,3130,3650,4635,3952,924,6954,8347
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",23,339,396,4557,6025,7371,8859,7582,6305,7297
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",19,155,161,4884,2272,606,8098,1116,462,36
20,"Mockingjay (The Hunger Games, #3)",20,1511,2889,3130,3650,4635,3952,924,6954,8347
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",2063,3801,1816,4719,764,2064,2725,471,5450,2038
22,The Lovely Bones,1070,3489,1978,2562,2853,3278,3702,8251,8881,933
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",18,339,396,4557,6025,7371,8859,6305,7297,2
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",27,26,28,9584,25,3790,5207,3061,1872,6920
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",26,27,24,28,9584,3061,5207,1872,6617,4065
26,"The Da Vinci Code (Robert Langdon, #2)",27,24,28,25,9584,5207,3061,3790,1872,6617
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",26,24,28,25,9584,3790,5207,1872,6920,3061
28,Lord of the Flies,24,26,27,9584,25,3061,1872,5207,8581,6617
29,Romeo and Juliet,8420,1797,5647,3061,28,6620,4831,6617,9584,21
30,Gone Girl,33,7186,34,5795,7183,5268,9338,7833,11,13
31,The Help,6088,8768,6481,9037,7788,467,4844,1,2,3
32,Of Mice and Men,131,222,724,1148,1977,2560,3032,7665,3329,8550
33,Memoirs of a Geisha,34,7186,5795,7183,30,11,5268,13,8723,9338
34,"Fifty Shades of Grey (Fifty Shades, #1)",33,7186,5795,7183,30,11,5268,9338,2702,8513
35,The Alchemist,1193,2482,5219,1509,2856,3097,3325,3351,4087,5702
36,"The Giver (The Giver, #1)",119,34,7183,33,5795,7186,30,9338,5268,11
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",329,344,359,489,537,635,1093,1910,2739,2818
38,The Time Traveler's Wife,1461,2647,3449,9302,1810,1,2,3,4,5
39,"A Game of Thrones (A Song of Ice and Fire, #1)",110,135,165,187,1476,1968,6235,6372,8571,9064
40,"Eat, Pray, Love",1257,2050,2416,2426,4157,5137,6703,8410,5306,5532
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",151,159,163,175,212,291,367,678,901,1014
42,"Little Women (Little Women, #1)",3519,5357,7284,8558,8703,5153,1907,4561,1,2
43,Jane Eyre,8038,2460,4781,5492,1762,63,1748,7097,8579,3163
44,"The Notebook (The Notebook, #1)",107,152,169,283,299,417,547,566,617,677
45,Life of Pi,6097,1,2,3,4,5,6,7,8,9
46,Water for Elephants,1770,5134,543,2363,2643,2873,2883,3309,3372,4355
47,The Book Thief,1074,1,2,3,4,5,6,7,8,9
48,Fahrenheit 451,631,1620,1953,3078,7554,8177,7493,696,655,1457
49,"New Moon (Twilight, #2)",52,56,73,726,827,4015,3028,5148,6455,8841
50,Where the Sidewalk Ends,2797,2869,895,8767,3910,894,375,4456,6559,7961
51,"City of Bones (The Mortal Instruments, #1)",134,153,182,306,316,348,456,602,2160,3226
52,"Eclipse (Twilight, #3)",52,56,73,726,827,4015,3028,5148,6455,8841
53,"Eragon (The Inheritance Cycle, #1)",342,642,736,1140,2005,2384,2649,2877,2989,3202
54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",334,744,1001,1029,1317,1705,3302,4977,7043,286
55,Brave New World,5675,7974,802,5378,5033,5035,3405,5034,1,2
56,"Breaking Dawn (Twilight, #4)",52,56,73,726,827,4015,3028,5148,6455,8841
57,The Secret Life of Bees,433,1527,2002,2781,3551,3888,4424,4563,5142,5210
58,The Adventures of Huckleberry Finn,116,3200,8292,2529,1165,7066,4331,7390,3517,7138
59,Charlotte's Web,1209,1191,1535,6377,5389,2289,539,675,1469,1929
60,The Curious Incident of the Dog in the Night-Time,3726,1652,2640,3200,8292,4071,1993,6854,8285,2083
61,The Girl on the Train,1127,1775,2941,4399,7431,418,1976,5581,8693,1
62,"The Golden Compass (His Dark Materials, #1)",365,476,7500,8961,3052,4447,2049,3499,3641,7634
63,Wuthering Heights,5838,2021,8038,156,451,688,1059,1254,2017,3922
64,My Sister's Keeper,325,328,611,742,784,900,968,1088,1136,1479
65,Slaughterhouse-Five,294,402,1061,1654,1682,2067,2139,2512,2728,3021
66,Gone with the Wind,517,1366,2503,3216,3505,4741,5835,8992,567,875
67,A Thousand Splendid Suns,7208,5424,3915,2153,5072,5338,5100,6033,1065,6169
68,The Perks of Being a Wallflower,72,229,234,240,302,346,437,484,548,551
69,"Insurgent (Divergent, #2)",69,1032,1184,2418,3230,5293,7877,2049,3499,3641
70,"Ender's Game (Ender's Saga, #1)",488,831,1200,1625,2275,2524,2854,5189,5288,6365
71,Frankenstein,4881,102,4562,8633,6084,422,2428,8563,9589,3750
72,The Shining (The Shining #1),229,234,240,302,346,437,484,548,551,604
73,"The Host (The Host, #1)",52,56,73,726,827,4015,3028,5148,6455,8841
74,Looking for Alaska,88,379,1555,770,1098,2965,3506,3549,4282,4310
75,"Bridget Jones's Diary (Bridget Jones, #1)",1438,2751,9312,6237,2610,793,898,5315,8531,3899
76,Sense and Sensibility,4569,467,447,171,6182,1026,4758,227,2119,5905
77,"Holes (Holes, #1)",7319,8047,9197,1364,2556,290,2324,8544,8741,1439
78,"The Devil Wears Prada (The Devil Wears Prada, #1)",1398,3513,4205,221,595,936,1539,4375,6298,277
79,The Odyssey,338,4076,6633,8663,2374,3872,3945,4232,5117,5332
80,The Little Prince,3398,3254,3291,8939,9408,3438,4499,5480,9665,8698
81,The Glass Castle,747,2057,1,2,3,4,5,6,7,8
82,Into the Wild,233,682,3468,4089,6132,1135,8744,9736,6889,8368
83,A Tale of Two Cities,8182,1457,160,202,2804,6073,3653,3267,9256,585
84,"Jurassic Park (Jurassic Park, #1)",483,570,634,654,687,1104,1281,1544,1572,1655
85,The Giving Tree,275,779,4773,8277,8438,50,1,2,3,4
86,A Time to Kill,123,224,278,591,826,953,1024,1044,1079,1231
87,Night (The Night Trilogy #1),1164,615,1597,7798,7966,8566,4437,8074,905,6578
88,Paper Towns,88,379,1555,770,1098,2965,3506,3549,4282,4310
89,The Princess Bride ,5886,154,708,766,797,847,2175,6294,6562,2575
90,The Outsiders,7678,4873,1,2,3,4,5,6,7,8
91,"The Maze Runner (Maze Runner, #1)",256,373,937,4946,96,99,1091,1545,3490,4504
92,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",1056,2849,1508,2783,3125,3540,4489,5567,5839,6127
93,The Secret Garden,2952,2962,6560,7749,7961,3623,6190,8162,8079,6557
94,One Hundred Years of Solitude,1225,7133,9403,2380,5594,8598,8694,230,1827,7598
95,The Picture of Dorian Gray,115,552,916,423,3637,6766,7676,4110,5729,2071
96,"Fifty Shades Freed (Fifty Shades, #3)",99,1091,1545,3490,4504,5028,9371,239,263,333
97,Dracula,4679,8829,5921,7216,2621,1489,138,1137,1514,1805
98,"The Girl Who Played with Fire (Millennium, #2)",943,4517,6620,8420,4616,1797,4831,9222,6388,6617
99,"Fifty Shades Darker (Fifty Shades, #2)",99,1091,1545,3490,4504,5028,9371,239,263,333
100,The Poisonwood Bible,852,1131,1436,1730,2054,2154,1008,3709,5878,5798
101,Me Talk Pretty One Day,341,369,529,934,1027,1897,2539,2006,8829,1137
102,Where the Wild Things Are,4562,8633,2428,8563,9589,9302,6270,71,3655,1
103,The Count of Monte Cristo,410,6601,4661,6710,6788,593,1005,1232,1937,2262
104,The Road,808,1108,3860,4241,5894,6507,7997,6136,6169,1304
105,"Allegiant (Divergent, #3)",117,112,106,3907,345,8513,5268,356,350,4889
106,Bossypants,112,117,105,823,8513,6940,8512,5268,3907,9338
107,A Walk to Remember,107,152,169,283,299,417,547,566,617,677
108,"Confessions of a Shopaholic (Shopaholic, #1)",305,408,504,629,754,946,1050,1417,1868,2541
109,"Les Misérables
",771,9280,6000,6804,5523,1742,4723,6799,8960,4088
110,"A Clash of Kings  (A Song of Ice and Fire, #2)",110,135,165,187,1476,1968,6235,6372,8571,9064
111,The Memory Keeper's Daughter,4071,403,9664,1259,2269,2765,2842,2884,3274,3611
112,"Me Before You (Me Before You, #1)",106,117,105,350,3907,345,5268,8513,823,7186
113,Catch-22,2477,8853,7166,3024,3511,4986,298,5336,6637,8385
114,Tuesdays with Morrie,132,777,1139,1421,2198,6108,6768,3373,1,2
115,Middlesex,552,916,95,1087,1828,2641,2785,3473,3773,3845
116,The Adventures of Tom Sawyer,58,3200,8292,2529,1165,7066,4331,7390,3517,7138
117,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",105,112,106,3907,345,350,6940,8513,3903,5268
118,The Joy Luck Club,840,1692,3069,3255,3984,8620,8901,3197,3072,5584
119,The Handmaid's Tale,36,7183,33,34,5795,7186,30,5268,9338,11
120,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",1696,2235,4153,4885,4929,5517,8157,8880,9183,404
121,Lolita,3265,9549,7026,387,1954,2737,4234,1300,3781,9690
122,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",7100,6034,4392,2615,922,4506,4326,5106,857,5012
123,"The Firm (Penguin Readers, Level 5)",123,224,278,591,826,953,1024,1044,1079,1231
124,Room,4055,5668,8967,1636,7020,8036,9677,1840,4481,1161
125,Hamlet,154,708,766,797,847,2175,6294,6562,2575,2960
126,Dune (Dune Chronicles #1),1092,1248,1665,2016,2452,2775,9505,2069,2465,3873
127,The Tipping Point: How Little Things Can Make a Big Difference,191,209,884,1329,5278,758,9110,2571,555,759
128,Steve Jobs,1022,1318,5597,1585,683,7492,1500,2116,1100,9463
129,One Flew Over the Cuckoo's Nest,5694,142,436,636,874,1068,1774,4597,4816,5600
130,The Old Man and the Sea,392,398,1018,3077,5599,6154,7107,9122,213,1708
131,The Grapes of Wrath,131,222,724,1148,1977,2560,3032,7665,3329,8550
132,The Five People You Meet in Heaven,777,1139,1421,2198,6108,114,6768,3373,1,2
133,"Anne of Green Gables (Anne of Green Gables, #1)",1099,1197,2779,3089,3836,3942,4613,5464,6380,8411
134,"City of Glass (The Mortal Instruments, #3)",134,153,182,306,316,348,456,602,2160,3226
135,"A Storm of Swords (A Song of Ice and Fire, #3)",110,135,165,187,1476,1968,6235,6372,8571,9064
136,Divine Secrets of the Ya-Ya Sisterhood,3926,9459,1191,1535,2870,5510,6151,6925,1731,2109
137,"Outlander (Outlander, #1)",459,549,706,856,1013,1261,1701,3714,5272,6798
138,The Scarlet Letter,4509,2385,6255,1494,3509,5921,7216,2621,8172,1489
139,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",876,1921,1,2,3,4,5,6,7,8
140,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",140,1160,5016,7052,9076,9377,98,4667,8591,1
141,The Martian,9641,2152,4056,4080,4991,9087,9126,9152,8644,3264
142,"The Pillars of the Earth (The Kingsbridge Series, #1)",436,636,874,1068,1774,4597,4816,5600,5635,6315
143,All the Light We Cannot See,1596,2352,2819,3042,3221,3313,3602,3782,4583,4591
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",760,5511,1107,6218,9692,2313,6813,7268,8714,6044
145,Deception Point,145,170,199,237,723,1464,3195,3196,4796,5233
146,The Goldfinch,490,3170,9252,2966,3099,9120,1734,4244,2974,8318
147,Thirteen Reasons Why,3949,6872,5452,8440,6529,1119,4348,9140,5682,6885
148,Girl with a Pearl Earring,3266,4488,4755,6179,4184,8830,1650,7887,2829,4013
149,"If I Stay (If I Stay, #1)",2833,3811,7642,5088,8786,471,1823,1,2,3
150,The Red Tent,1462,9417,1296,4259,4431,4830,5000,5123,6425,6439
151,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",151,159,163,175,212,291,367,678,901,1014
152,Dear John,107,152,169,283,299,417,547,566,617,677
153,"City of Ashes (The Mortal Instruments, #2)",134,153,182,306,316,348,456,602,2160,3226
154,Macbeth,708,766,797,847,2175,6294,6562,3638,763,550
155,"The Two Towers (The Lord of the Rings, #2)",19,155,161,4884,2272,606,8098,1116,462,36
156,"Something Borrowed (Darcy & Rachel, #1)",451,688,1059,1254,2017,3922,2675,6331,8294,1340
157,Green Eggs and Ham,248,355,361,388,791,1333,2473,3000,3220,3307
158,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",183,332,370,413,1244,1640,1911,2091,2579,2699
159,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",151,159,163,175,212,291,367,678,901,1014
160,Great Expectations,202,2804,6073,3653,3267,9256,585,2135,3041,358
161,"The Return of the King (The Lord of the Rings, #3)",19,155,161,4884,2272,606,8098,1116,462,36
162,The Stranger,1996,3286,864,429,834,881,1277,1321,1454,1463
163,"The Lost Hero (The Heroes of Olympus, #1)",151,159,163,175,212,291,367,678,901,1014
164,Eleanor & Park,321,806,980,1649,5088,1,2,3,4,5
165,"A Feast for Crows (A Song of Ice and Fire, #4)",110,135,165,187,1476,1968,6235,6372,8571,9064
166,"Matched (Matched, #1)",649,1041,1530,1630,2282,2389,3603,4069,5938,9407
167,"American Gods (American Gods, #1)",274,279,319,374,660,2137,2632,5772,280,7276
168,The Stand,928,3156,3672,72,229,234,240,302,346,437
169,The Last Song,107,152,169,283,299,417,547,566,617,677
170,Digital Fortress,145,170,199,237,723,1464,3195,3196,4796,5233
171,Emma,4569,447,6182,1026,4758,76,227,467,2119,7895
172,Anna Karenina,8522,494,7697,5337,6505,6728,5706,1975,1690,3560
173,A Clockwork Orange,8118,6111,1596,2352,2819,3042,3221,3313,3602,3782
174,The Shack,5055,5799,6712,8131,8408,9693,154,708,766,797
175,"The Last Olympian (Percy Jackson and the Olympians, #5)",151,159,163,175,212,291,367,678,901,1014
177,Crime and Punishment,8608,481,4031,1349,3321,1028,8829,4033,1137,1514
178,The Bell Jar,2875,7439,216,331,3812,7091,7587,870,8390,3324
179,"Angela's Ashes (Frank McCourt, #1)",2218,3897,2069,2465,3873,3924,8043,8519,126,1092
180,Siddhartha,2066,1002,3038,4550,3367,5842,6724,2038,1,2
181,In Cold Blood,658,2243,1,2,3,4,5,6,7,8
182,"Beautiful Creatures (Caster Chronicles, #1)",1134,2321,9708,1406,5847,567,875,1386,2521,2530
183,"Clockwork Angel (The Infernal Devices, #1)",134,153,182,306,316,348,456,602,2160,3226
184,Matilda,183,332,370,413,1244,1640,1911,2091,2579,2699
185,The Night Circus,2441,3913,4225,4468,4510,4687,5851,6080,6225,7684
186,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",694,757,1481,1517,2471,2668,3298,3666,4450,5980
187,"Uglies (Uglies, #1)",514,774,1379,1723,5700,6602,8455,9671,9712,4411
