,isbn,isbn13,original_publication_year,title,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,author,details,description,purchase
20,439358078,9780439358070,2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,1735368,1840548,28685,9528,31577,180210,494427,1124806,https://images.gr-assets.com/books/1387141547m/2.jpg,J.K. Rowling,"Paperback, US Edition, 870 pages","There is a door at the end of a silent corridor. And it’s haunting Harry Pottter’s dreams. Why else would he be waking in the middle of the night, screaming in terror?

Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defense Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the looming terror of the Ordinary Wizarding Level exams. But all these things pale next to the growing threat of He-Who-Must-Not-Be-Named---a threat that neither the magical government nor the authorities at Hogwarts can stop.

As the grasp of darkness tightens, Harry must discover the true depth and strength of his friends, the importance of boundless loyalty, and the shocking price of unbearable sacrifice.

His fate depends on them all. (less)",https://www.goodreads.com/buy_buttons/12/follow?book_id=2&ref=x_gr_w_glide_ku_bb&tag=x_gr_w_glide_ku_bb-20
21,316166685,9780316166680,2002,The Lovely Bones,3.77,1605173,1661562,36642,62777,131188,404699,583575,479323,https://images.gr-assets.com/books/1457810586m/12232938.jpg,Alice Sebold,"Mass Market Paperback, 328 pages","The Lovely Bones is the story of a family devastated by a gruesome murder -- a murder recounted by the teenage victim. Upsetting, you say? Remarkably, first-time novelist Alice Sebold takes this difficult material and delivers a compelling and accomplished exploration of a fractured family's need for peace and closure.

The details of the crime are laid out in the first few pages: from her vantage point in heaven, Susie Salmon describes how she was confronted by the murderer one December afternoon on her way home from school. Lured into an underground hiding place, she was raped and killed. But what the reader knows, her family does not. Anxiously, we keep vigil with Susie, aching for her grieving family, desperate for the killer to be found and punished.

Sebold creates a heaven that's calm and comforting, a place whose residents can have whatever they enjoyed when they were alive -- and then some. But Susie isn't ready to release her hold on life just yet, and she intensely watches her family and friends as they struggle to cope with a reality in which she is no longer a part. To her great credit, Sebold has shaped one of the most loving and sympathetic fathers in contemporary literature. (less)",https://www.goodreads.com/buy_buttons/12/follow?book_id=12232938&ref=x_gr_w_glide_bb&tag=x_gr_w_glide_bb-20
22,439064864,9780439064870,1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,1779331,1906199,34172,8253,42251,242345,548266,1065084,https://images.gr-assets.com/books/1474169725m/15881.jpg,J.K. Rowling,"Hardcover, First American Edition, 341 pages","The Dursleys were so mean and hideous that summer that all Harry Potter wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he's packing his bags, Harry receives a warning from a strange, impish creature named Dobby who says that if Harry Potter returns to Hogwarts, disaster will strike

And strike it does. For in Harry's second year at Hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor, Gilderoy Lockhart, a spirit named Moaning Myrtle who haunts the girls' bathroom, and the unwanted attentions of Ron Weasley's younger sister, Ginny.

But each of these seem minor annoyances when the real trouble begins, and someone -- or something -- starts turning Hogwarts students to stone. Could it be Draco Malfoy, a more poisonous rival than ever? Could it possibly be Hagrid, whose mysterious past is finally told? Or could it be the one everyone at Hogwarts most suspects . . . Harry Potter himself?

--jacket description (less)",https://www.goodreads.com/buy_buttons/12/follow?book_id=15881&ref=x_gr_w_glide_ku_bb&tag=x_gr_w_glide_ku_bb-20
23,439139600,9780439139600,2000,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,1753043,1868642,31084,6676,20210,151785,494926,1195045,https://images.gr-assets.com/books/1361482611m/6.jpg,J.K. Rowling,"Paperback, First Scholastic Trade Paperback Edition, 734 pages","Harry Potter is midway through his training as a wizard and his coming of age. Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup. He wants to find out about the mysterious event that's supposed to take place at Hogwarts this year, an event involving two other rival schools of magic, and a competition that hasn't happened for a hundred years. He wants to be a normal, fourteen-year-old wizard. But unfortunately for Harry Potter, he's not normal - even by wizarding standards. And in his case, different can be deadly. --back cover (less)",https://www.goodreads.com/buy_buttons/12/follow?book_id=6&ref=x_gr_w_glide_ku_bb&tag=x_gr_w_glide_ku_bb-20
24,545010225,9780545010220,2007,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,1746574,1847395,51942,9363,22245,113646,383914,1318227,https://images.gr-assets.com/books/1474171184m/136251.jpg,J.K. Rowling,"Hardcover, First American Edition, 759 pages","Harry Potter is leaving Privet Drive for the last time. But as he climbs into the sidecar of Hagrid’s motorbike and they take to the skies, he knows Lord Voldemort and the Death Eaters will not be far behind.

The protective charm that has kept him safe until now is broken. But the Dark Lord is breathing fear into everything he loves. And he knows he can’t keep hiding.

To stop Voldemort, Harry knows he must find the remaining Horcruxes and destroy them.

He will have to face his enemy in one final battle.
--jkrowling.com (less)",https://www.goodreads.com/buy_buttons/12/follow?book_id=136251&ref=x_gr_w_glide_ku_bb&tag=x_gr_w_glide_ku_bb-20
25,307277674,9780307277670,2003,"The Da Vinci Code (Robert Langdon, #2)",3.79,1447148,1557292,41560,71345,126493,340790,539277,479387,https://images.gr-assets.com/books/1303252999m/968.jpg,Dan Brown,"Paperback, 489 pages","An ingenious code hidden in the works of Leonardo da Vinci.

A desperate race through the cathedrals and castles of Europe.

An astonishing truth concealed for centuries . . . unveiled at last.

While in Paris, Harvard symbologist Robert Langdon is awakened by a phone call in the dead of the night. The elderly curator of the Louvre has been murdered inside the museum, his body covered in baffling symbols. As Langdon and gifted French cryptologist Sophie Neveu sort through the bizarre riddles, they are stunned to discover a trail of clues hidden in the works of Leonardo da Vinci—clues visible for all to see and yet ingeniously disguised by the painter.

Even more startling, the late curator was involved in the Priory of Sion—a secret society whose members included Sir Isaac Newton, Victor Hugo, and Da Vinci—and he guarded a breathtaking historical secret. Unless Langdon and Neveu can decipher the labyrinthine puzzle—while avoiding the faceless adversary who shadows their every move—the explosive, ancient truth will be lost forever. (less)",https://www.goodreads.com/buy_buttons/12/follow?book_id=968&ref=x_gr_w_glide_bb&tag=x_gr_w_glide_bb-20
26,439785960,9780439785970,2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,1678823,1785676,27520,7308,21516,136333,459028,1161491,https://images.gr-assets.com/books/1361039191m/1.jpg,J.K. Rowling,"Paperback, 652 pages","When Harry Potter and the Half-Blood Prince opens, the war against Voldemort has begun. The Wizarding world has split down the middle, and as the casualties mount, the effects even spill over onto the Muggles. Dumbledore is away from Hogwarts for long periods, and the Order of the Phoenix has suffered grievous losses. And yet, as in all wars, life goes on.

Harry, Ron, and Hermione, having passed their O.W.L. level exams, start on their specialist N.E.W.T. courses. Sixth-year students learn to Apparate, losing a few eyebrows in the process. Teenagers flirt and fight and fall in love. Harry becomes captain of the Gryffindor Quidditch team, while Draco Malfoy pursues his own dark ends. And classes are as fascinating and confounding as ever, as Harry receives some extraordinary help in Potions from the mysterious Half-Blood Prince.

Most importantly, Dumbledore and Harry work together to uncover the full and complex story of a boy once named Tom Riddle—the boy who became Lord Voldemort. Like Harry, he was the son of one Muggle-born and one Wizarding parent, raised unloved, and a speaker of Parseltongue. But the similarities end there, as the teenaged Riddle became deeply interested in the Dark objects known as Horcruxes: objects in which a wizard can hide part of his soul, if he dares splinter that soul through murder.

Harry must use all the tools at his disposal to draw a final secret out of one of Riddle’s teachers, the sly Potions professor Horace Slughorn. Finally Harry and Dumbledore hold the key to the Dark Lord’s weaknesses... until a shocking reversal exposes Dumbledore’s own vulnerabilities, and casts Harry’s—and Hogwarts’s—future in shadow.

Source: http://harrypotter.scholastic.com (less)",https://www.goodreads.com/buy_buttons/12/follow?book_id=1&ref=x_gr_w_glide_ku_bb&tag=x_gr_w_glide_ku_bb-20
27,140283331,9780140283330,1954,Lord of the Flies,3.64,1605019,1671484,26886,92779,160295,425648,564916,427846,https://images.gr-assets.com/books/1327869409m/7624.jpg,William Golding,"Paperback, Penguin Great Books of the 20th Century, 182 pages","At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate; this far from civilization the boys can do anything they want. Anything. They attempt to forge their own society, failing, however, in the face of terror, sin and evil. And as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far from reality as the hope of being rescued. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies is perhaps our most memorable tale about “the end of innocence, the darkness of man’s heart.” (less)",https://www.goodreads.com/buy_buttons/12/follow?book_id=7624&ref=x_gr_w_glide_bb&tag=x_gr_w_glide_bb-20
28,743477111,9780743477120,1595,Romeo and Juliet,3.73,1628519,1672889,14778,57980,153179,452673,519822,489235,https://images.gr-assets.com/books/1327872146m/18135.jpg,William Shakespeare,"Mass Market Paperback, New Folger edition US/CAN, 283 pages","In Romeo and Juliet, Shakespeare creates a violent world, in which two young people fall in love. It is not simply that their families disapprove; the Montagues and the Capulets are engaged in a blood feud.

In this death-filled setting, the movement from love at first sight to the lovers’ final union in death seems almost inevitable. And yet, this play set in an extraordinary world has become the quintessential story of young love. In part because of its exquisite language, it is easy to respond as if it were about all young lovers.

The authoritative edition of Romeo and Juliet from The Folger Shakespeare Library, the trusted and widely used Shakespeare series for students and general readers, includes:

*Freshly edited text based on the best early printed version of the play
*Newly revised explanatory notes conveniently placed on pages facing the text of the play
*Scene-by-scene plot summaries
*A key to the play’s famous lines and phrases
*An introduction to reading Shakespeare’s language
*An essay by a leading Shakespeare scholar providing a modern perspective on the play
*Fresh images from the Folger Shakespeare Library’s vast holdings of rare books
*An up-to-date annotated guide to further reading (less)",https://www.goodreads.com/buy_buttons/12/follow?book_id=18135&ref=x_gr_w_glide_bb&tag=x_gr_w_glide_bb-20
29,297859382,9780297859380,2012,Gone Girl,4.03,512475,1626519,121614,38874,80807,280331,616031,610476,https://images.gr-assets.com/books/1339602131m/8442457.jpg,Gillian Flynn,"Paperback, 415 pages","Marriage can be a real killer.

One of the most critically acclaimed suspense writers of our time, New York Times bestseller Gillian Flynn takes that statement to its darkest place in this unputdownable masterpiece about a marriage gone terribly, terribly wrong. The Chicago Tribune proclaimed that her work “draws you in and keeps you reading with the force of a pure but nasty addiction.” Gone Girl’s toxic mix of sharp-edged wit and deliciously chilling prose creates a nerve-fraying thriller that confounds you at every turn.

On a warm summer morning in North Carthage, Missouri, it is Nick and Amy Dunne’s fifth wedding anniversary. Presents are being wrapped and reservations are being made when Nick’s clever and beautiful wife disappears from their rented McMansion on the Mississippi River. Husband-of-the-Year Nick isn’t doing himself any favors with cringe-worthy daydreams about the slope and shape of his wife’s head, but passages from Amy's diary reveal the alpha-girl perfectionist could have put anyone dangerously on edge. Under mounting pressure from the police and the media—as well as Amy’s fiercely doting parents—the town golden boy parades an endless series of lies, deceits, and inappropriate behavior. Nick is oddly evasive, and he’s definitely bitter—but is he really a killer?

As the cops close in, every couple in town is soon wondering how well they know the one that they love. With his twin sister, Margo, at his side, Nick stands by his innocence. Trouble is, if Nick didn’t do it, where is that beautiful wife? And what was in that silvery gift box hidden in the back of her bedroom closet?

With her razor-sharp writing and trademark psychological insight, Gillian Flynn delivers a fast-paced, devilishly dark, and ingeniously plotted thriller that confirms her status as one of the hottest writers around.
Source: gillian-flynn.com (less)",https://www.goodreads.com/buy_buttons/12/follow?book_id=19288043&ref=x_gr_w_bb&tag=x_gr_w_bb-20
