,title,isbn13
0,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",9780439358071
1,The Lovely Bones,9780316166683
2,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",9780439064866
3,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",
4,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",9780545010221
5,"The Da Vinci Code (Robert Langdon, #2)",9780307277671
6,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",9780439785969
7,Lord of the Flies,9780140283334
8,Romeo and Juliet,9780743477116
9,Gone Girl,
10,The Help,
11,Of Mice and Men,9780142000670
12,Memoirs of a Geisha,9781400096893
13,"Fifty Shades of Grey (Fifty Shades, #1)",9781612130293
14,The Alchemist,9780061122415
15,"The Giver (The Giver, #1)",9780385732550
16,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",
17,The Time Traveler's Wife,9781939126016
18,"A Game of Thrones (A Song of Ice and Fire, #1)",9780553588484
19,"Eat, Pray, Love",9780143038412
20,"The Lightning Thief (Percy Jackson and the Olympians, #1)",9780786838653
21,"Little Women (Little Women, #1)",9780451529305
22,Jane Eyre,9780142437209
23,"The Notebook (The Notebook, #1)",
24,Water for Elephants,9781565125605
25,The Book Thief,9780375831003
26,Fahrenheit 451,
27,"New Moon (Twilight, #2)",9780316160193
28,Where the Sidewalk Ends,9780060513030
29,"City of Bones (The Mortal Instruments, #1)",9781416914280
30,"Eclipse (Twilight, #3)",9780316160209
31,"Eragon (The Inheritance Cycle, #1)",9780375826696
32,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",9780345418913
33,Brave New World,9780060929879
34,"Breaking Dawn (Twilight, #4)",9780316067928
35,The Secret Life of Bees,9780142001745
36,The Adventures of Huckleberry Finn,9780142437179
37,Charlotte's Web,9780064410939
38,The Curious Incident of the Dog in the Night-Time,9781400032716
39,The Girl on the Train,9781594633669
40,"The Golden Compass (His Dark Materials, #1)",9780679879244
41,Wuthering Heights,9780393978896
42,My Sister's Keeper,9780743454537
43,Slaughterhouse-Five,9780385333849
44,Gone with the Wind,9780446675536
45,A Thousand Splendid Suns,9781594489501
46,The Perks of Being a Wallflower,
47,"Insurgent (Divergent, #2)",9780007442911
48,"Ender's Game (Ender's Saga, #1)",9780812550702
49,Frankenstein,
50,The Shining (The Shining #1),9780450040184
51,"The Host (The Host, #1)",9780316068048
52,Looking for Alaska,9780142402511
53,Sense and Sensibility,
54,"Holes (Holes, #1)",9780439244190
55,"The Devil Wears Prada (The Devil Wears Prada, #1)",9780307275554
56,The Odyssey,9780143039952
57,The Little Prince,9780156012195
58,The Glass Castle,9780743247542
59,Into the Wild,9780385486804
60,A Tale of Two Cities,9780141439600
61,"Jurassic Park (Jurassic Park, #1)",
62,The Giving Tree,9780060256654
63,A Time to Kill,
64,Night (The Night Trilogy #1),9780374500016
65,Paper Towns,9780142414934
66,The Princess Bride ,9780345418265
67,The Outsiders,
68,"The Maze Runner (Maze Runner, #1)",9780385737944
69,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",9780061234002
70,The Secret Garden,9780517189603
71,One Hundred Years of Solitude,9780060531041
