,title,author,rating,cover,details,description,purchase
0,Pride And Prejudice,Jane Austen,"
  4.25
",https://images.gr-assets.com/books/1320399351l/1885.jpg,"Paperback, Modern Library Classics, USA / CAN, 279 pages","Since its immediate success in 1813, Pride and Prejudice has remained one of the most popular novels in the English language. Jane Austen called this brilliant work ""her own darling child"" and its vivacious heroine, Elizabeth Bennet, ""as delightful a creature as ever appeared in print."" The romantic clash between the opinionated Elizabeth and her proud beau, Mr. Darcy, is a splendid performance of civilized sparring. And Jane Austen's radiant wit sparkles as her characters dance a delicate quadrille of flirtation and intrigue, making this book the most superb comedy of manners of Regency England. (less)",https://www.goodreads.com/buy_buttons/12/follow?book_id=1885&ref=x_gr_w_bb&tag=x_gr_w_bb-20
1,To Kill A Mockingbird,Harper Lee,"
  4.27
",https://images.gr-assets.com/books/1361975680l/2657.jpg,"Paperback, 50th Anniversary, 324 pages","The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.

Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature. (less)",https://www.goodreads.com/buy_buttons/12/follow?book_id=2657&ref=x_gr_w_glide_bb&tag=x_gr_w_glide_bb-20
2,The Hobbit,J.R.R. Tolkien,"
  4.26
",https://images.gr-assets.com/books/1546071216l/5907.jpg,"Paperback, 366 pages","In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort.

Written for J.R.R. Tolkien’s own children, The Hobbit met with instant critical acclaim when it was first published in 1937. Now recognized as a timeless classic, this introduction to the hobbit Bilbo Baggins, the wizard Gandalf, Gollum, and the spectacular world of Middle-earth recounts of the adventures of a reluctant hero, a powerful and dangerous ring, and the cruel dragon Smaug the Magnificent. The text in this 372-page paperback edition is based on that first published in Great Britain by Collins Modern Classics (1998), and includes a note on the text by Douglas A. Anderson (2001). Unforgettable!
(less)",https://www.goodreads.com/buy_buttons/12/follow?book_id=5907&ref=x_gr_w_bb&tag=x_gr_w_bb-20
3,The Lord Of the Rings,J.R.R. Tolkien,"
  4.49
",https://images.gr-assets.com/books/1547450792l/33.jpg,"Paperback, 50th Anniversary One-volume Edition, 1216 pages","One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them

In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, the Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell by chance into the hands of the hobbit Bilbo Baggins.

From Sauron's fastness in the Dark Tower of Mordor, his power spread far and wide. Sauron gathered all the Great Rings to him, but always he searched for the One Ring that would complete his dominion.

When Bilbo reached his eleventy-first birthday he disappeared, bequeathing to his young cousin Frodo the Ruling Ring and a perilous quest: to journey across Middle-earth, deep into the shadow of the Dark Lord, and destroy the Ring by casting it into the Cracks of Doom.

The Lord of the Rings tells of the great quest undertaken by Frodo and the Fellowship of the Ring: Gandalf the Wizard; the hobbits Merry, Pippin, and Sam; Gimli the Dwarf; Legolas the Elf; Boromir of Gondor; and a tall, mysterious stranger called Strider. (less)",https://www.goodreads.com/buy_buttons/12/follow?book_id=33&ref=x_gr_w_bb&tag=x_gr_w_bb-20
4,The Giver,Lois Lowry,"
  4.12
",https://images.gr-assets.com/books/1342493368l/3636.jpg,"Paperback, 208 pages",Twelve-year-old Jonas lives in a seemingly ideal world. Not until he is given his life assignment as the Receiver does he begin to understand the dark secrets behind this fragile community.,https://www.goodreads.com/buy_buttons/12/follow?book_id=3636&ref=x_gr_w_glide_bb&tag=x_gr_w_glide_bb-20
5,Lord Of The Flies,William Golding,"
  3.66
",https://images.gr-assets.com/books/1327869409l/7624.jpg,"Paperback, Penguin Great Books of the 20th Century, 182 pages","At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate; this far from civilization the boys can do anything they want. Anything. They attempt to forge their own society, failing, however, in the face of terror, sin and evil. And as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far from reality as the hope of being rescued. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies is perhaps our most memorable tale about “the end of innocence, the darkness of man’s heart.” (less)",https://www.goodreads.com/buy_buttons/12/follow?book_id=7624&ref=x_gr_w_glide_bb&tag=x_gr_w_glide_bb-20
6,The Princess Bride,William Goldman,"
  4.26
",https://images.gr-assets.com/books/1327903636l/21787.jpg,"Paperback, 30th Anniversary Edition, 398 pages","What happens when the most beautiful girl in the world marries the handsomest prince of all time and he turns out to be...well...a lot less than the man of her dreams?

As a boy, William Goldman claims, he loved to hear his father read the S. Morgenstern classic, The Princess Bride. But as a grown-up he discovered that the boring parts were left out of good old Dad's recitation, and only the ""good parts"" reached his ears.

Now Goldman does Dad one better. He's reconstructed the ""Good Parts Version"" to delight wise kids and wide-eyed grownups everywhere.

What's it about? Fencing. Fighting. True Love. Strong Hate. Harsh Revenge. A Few Giants. Lots of Bad Men. Lots of Good Men. Five or Six Beautiful Women. Beasties Monstrous and Gentle. Some Swell Escapes and Captures. Death, Lies, Truth, Miracles, and a Little Sex.

In short, it's about everything. (less)",https://www.goodreads.com/buy_buttons/12/follow?book_id=21787&ref=x_gr_w_glide_ku_bb&tag=x_gr_w_glide_ku_bb-20
7,Slaughterhouse Five,Kurt Vonnegut,"
  4.07
",https://images.gr-assets.com/books/1440319389l/4981.jpg,"Paperback, 275 pages","Selected by the Modern Library as one of the 100 best novels of all time, Slaughterhouse-Five, an American classic, is one of the world's great antiwar books. Centering on the infamous firebombing of Dresden, Billy Pilgrim's odyssey through time reflects the mythic journey of our own fractured lives as we search for meaning in what we fear most.",https://www.goodreads.com/buy_buttons/12/follow?book_id=4981&ref=x_gr_w_glide_bb&tag=x_gr_w_glide_bb-20
8,As I Lay Dying,William Faulkner,"
  3.72
",https://images.gr-assets.com/books/1451810782l/77013.jpg,"Paperback, 288 pages","As I Lay Dying is Faulkner’s harrowing account of the Bundren family’s odyssey across the Mississippi countryside to bury Addie, their wife and mother. Narrated in turn by each of the family members—including Addie herself—as well as others, the novel ranges in mood, from dark comedy to the deepest pathos. Considered one of the most influential novels in American fiction in structure, style, and drama, As I Lay Dying is a true 20th-century classic.

This edition reproduces the corrected text of As I Lay Dying as established in 1985 by Noel Polk. (less)",https://www.goodreads.com/buy_buttons/12/follow?book_id=77013&ref=x_gr_w_bb&tag=x_gr_w_bb-20
9,1984,George Orwell,"
  4.17
",https://images.gr-assets.com/books/1532714506l/40961427.jpg,"Kindle Edition, 237 pages","Alternate cover edition of ASIN B003JTHWKU
For previous cover edition see here

Among the seminal texts of the 20th century, Nineteen Eighty-Four is a rare work that grows more haunting as its futuristic purgatory becomes more real. Published in 1949, the book offers political satirist George Orwell's nightmarish vision of a totalitarian, bureaucratic world and one poor stiff's attempt to find individuality. The brilliance of the novel is Orwell's prescience of modern life--the ubiquity of television, the distortion of the language--and his ability to construct such a thorough version of hell. Required reading for students since it was published, it ranks among the most terrifying novels ever written. (less)",https://www.goodreads.com/buy_buttons/12/follow?book_id=40961427&ref=x_gr_w_glide_ku_bb&tag=x_gr_w_glide_ku_bb-20
